name,sid,id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
Oscar,F202400767,586848582,MS,M,18,R,LE3,T,1,2,at_home,services
Sheila,F202400768,728184394,MS,F,17,U,GT3,T,2,2,other,at_home
Lucy,F202400769,930141176,MS,F,17,R,GT3,T,1,2,other,other
Jim,F202400770,812010166,MS,F,18,R,LE3,T,4,4,other,other
Valerie,F202400771,313251972,MS,F,18,R,GT3,T,1,1,other,other
Felix,F202400772,918909218,MS,F,20,U,GT3,T,4,2,health,other
Maddox,F202400773,795688996,MS,F,18,R,LE3,T,4,4,teacher,services
Taylor,F202400774,949674177,MS,F,18,U,GT3,T,3,3,other,other
Dennis,F202400775,478445797,MS,F,17,R,GT3,T,3,1,at_home,other
Clara,F202400776,474078883,MS,M,18,U,GT3,T,4,4,teacher,teacher
Nina,F202400777,352476930,MS,M,18,R,GT3,T,2,1,other,other
Lois,F202400778,758853611,MS,M,17,U,GT3,T,2,3,other,services
Leo,F202400779,341938702,MS,M,19,R,GT3,T,1,1,other,services
Francis,F202400780,678528145,MS,M,18,R,GT3,T,4,2,other,other
Brandy,F202400781,439516739,MS,F,18,R,GT3,T,2,2,at_home,other
Deborah,F202400782,189264959,MS,F,18,R,GT3,T,4,4,teacher,at_home
Hazel,F202400783,790699660,MS,F,19,R,GT3,T,2,3,services,other
Ethan,F202400784,447332565,MS,F,18,U,LE3,T,3,1,teacher,services
Taylor,F202400785,237823112,MS,F,18,U,GT3,T,1,1,other,other
Iris,F202400786,647862901,MS,M,20,U,LE3,A,2,2,services,services
Jason,F202400787,106098458,MS,M,17,U,LE3,T,3,1,services,services
Blaine,F202400788,123215028,MS,M,21,R,GT3,T,1,1,other,other
Elaine,F202400789,858916619,MS,M,18,R,LE3,T,3,2,services,other
Sam,F202400790,839406795,MS,M,19,U,LE3,T,1,1,other,at_home
