姓名,学号,原因,往返时间,一周学习天数,课外活动,深造,有恋爱关系,家庭融洽程度,一周空闲时间,一周外出时间,工作日酒精摄入,周末酒精摄入,健康程度
萧平,2022000378,reputation,6,6,yes,no,no,4,6,1,5,2,1
曾欣怡,2022000379,course,10,2,yes,yes,no,1,3,6,1,1,2
孙雨涵,2022000380,reputation,3,2,yes,yes,yes,1,3,6,5,4,3
邓欣悦,2022000381,course,10,7,yes,no,no,2,3,2,1,4,2
赵雨晴,2022000382,course,5,5,no,yes,no,5,4,1,3,2,3
魏梦涵,2022000383,course,1,6,yes,no,yes,2,7,5,4,3,1
林梦璐,2022000384,reputation,8,4,yes,yes,no,4,7,5,5,2,2
马静,2022000385,course,9,4,no,yes,no,1,7,5,2,3,4
梁敏,2022000386,reputation,6,6,no,yes,yes,3,1,6,5,5,4
曹玲,2022000387,other,6,5,yes,no,no,2,4,4,5,3,3
吕志国,2022000388,other,2,6,yes,yes,no,1,3,3,1,1,5
卢明,2022000389,course,3,3,no,yes,yes,1,7,1,1,3,5
蒋欣宜,2022000390,course,1,2,yes,yes,no,3,4,3,1,5,5
胡雨涵,2022000391,course,10,7,yes,no,yes,1,5,6,1,4,5
韩梦琪,2022000392,reputation,2,4,no,no,yes,2,2,7,5,1,2
刘国平,2022000393,home,6,7,no,no,yes,3,1,1,3,5,3
赵强,2022000394,home,9,1,yes,yes,no,1,5,6,4,1,5
薛雨泽,2022000395,home,3,6,no,yes,yes,4,2,2,4,2,3
曹丽,2022000396,reputation,5,5,yes,no,yes,2,3,4,3,2,5
孙浩然,2022000397,home,1,5,no,no,yes,4,5,3,3,5,3
梁秀兰,2022000398,other,9,3,no,yes,yes,3,4,5,3,3,3
彭秀兰,2022000399,reputation,2,6,yes,yes,yes,1,2,7,1,1,3
王欣悦,2022000400,reputation,10,6,no,no,yes,3,3,5,4,5,1
赵伟,2022000401,reputation,4,6,yes,no,no,2,3,7,5,2,5
贾娜,2022000402,home,3,4,no,no,yes,5,7,2,5,5,4
薛娟,2022000403,course,5,4,yes,no,no,5,2,6,1,4,1
郭秀英,2022000404,home,7,1,yes,no,yes,4,7,3,2,4,4
曹涛,2022000405,course,1,2,yes,no,no,1,5,1,5,5,1
薛语涵,2022000406,other,9,4,no,no,no,3,6,7,5,1,3
吕超,2022000407,course,9,3,no,yes,yes,4,6,7,5,1,4
蔡国文,2022000408,reputation,9,5,no,yes,no,1,3,5,2,4,1
彭浩宇,2022000409,reputation,1,3,yes,no,yes,2,3,2,3,4,3
吕芳,2022000410,other,10,3,no,yes,yes,5,4,6,2,2,2
魏语蝶,2022000411,home,10,1,yes,yes,yes,4,3,5,3,2,3
苏志华,2022000412,home,9,5,no,no,no,2,7,7,2,3,2
何建平,2022000413,other,5,2,yes,no,yes,5,2,2,2,1,4
董强,2022000414,home,1,7,yes,yes,yes,5,6,1,4,4,2
魏超,2022000415,course,2,3,no,yes,no,5,2,2,5,4,5
许丽,2022000416,other,7,7,no,no,yes,5,7,3,2,3,3
王志华,2022000417,course,1,1,yes,yes,yes,1,5,1,2,3,4
董欣宜,2022000418,reputation,8,2,no,yes,no,2,4,7,3,1,5
丁宇轩,2022000419,reputation,7,3,no,no,no,3,3,6,1,2,1
蔡文,2022000420,home,8,3,yes,no,yes,1,1,4,1,2,2
彭志文,2022000421,reputation,3,7,yes,yes,yes,3,3,2,4,3,2
冯涛,2022000422,other,7,4,no,yes,no,2,3,6,2,5,3
魏伟,2022000423,other,1,4,no,yes,yes,1,3,1,3,2,1
梁欣欣,2022000424,home,8,1,no,no,no,2,4,6,3,4,5
林志强,2022000425,reputation,3,1,no,yes,no,1,2,3,3,2,3
蒋欣慧,2022000426,other,7,3,no,yes,no,1,1,7,3,2,5
胡秀兰,2022000427,other,10,4,yes,yes,no,1,5,3,1,1,4
高欣诺,2022000428,other,1,2,no,yes,no,4,3,3,4,3,1
魏语晨,2022000429,course,5,4,no,no,no,3,2,4,2,4,3
朱梦婷,2022000430,reputation,9,7,yes,no,no,3,1,6,1,5,4
蔡秀英,2022000431,home,2,3,no,yes,yes,5,1,4,3,1,4
赵建平,2022000432,other,3,2,no,no,no,4,3,2,4,1,4
程雨涵,2022000433,other,1,1,yes,no,no,4,4,5,4,1,5
胡雨轩,2022000434,other,10,5,no,yes,yes,2,3,3,2,5,4
沈梦璐,2022000435,reputation,5,2,no,yes,no,5,1,2,3,2,3
袁伟,2022000436,home,3,3,no,yes,yes,2,2,5,4,2,5
沈秀英,2022000437,reputation,10,3,no,yes,yes,4,7,2,1,2,1
林欣悦,2022000438,home,9,5,yes,no,yes,2,2,1,2,5,4
韩梦茜,2022000439,other,5,3,no,yes,no,3,7,3,2,1,5
蔡子豪,2022000440,other,10,7,no,yes,yes,3,5,6,4,2,3
林霞,2022000441,course,4,2,yes,yes,yes,4,3,2,2,5,5
胡浩然,2022000442,other,7,7,yes,no,yes,1,2,3,3,4,2
苏雨泽,2022000443,course,9,4,yes,yes,no,3,5,4,1,2,5
胡语蝶,2022000444,home,7,6,no,no,yes,3,6,5,2,2,1
蒋梦涵,2022000445,other,6,4,no,no,no,1,5,5,2,4,3
萧语晨,2022000446,home,2,4,no,no,yes,4,3,3,4,4,4
叶志平,2022000447,reputation,7,1,yes,yes,no,4,7,4,4,3,4
郑子轩,2022000448,reputation,1,7,no,no,yes,5,1,3,1,3,2
孙超,2022000449,course,1,3,yes,yes,no,4,2,6,5,4,4
于欣宜,2022000450,other,2,4,no,no,yes,1,2,5,5,1,5
刘建军,2022000451,reputation,2,7,no,no,yes,1,6,1,5,3,2
吕磊,2022000452,other,8,7,yes,no,no,1,3,4,4,1,2
刘文,2022000453,other,9,3,yes,yes,yes,3,5,3,5,2,4
罗芬,2022000454,course,7,7,yes,yes,no,3,7,1,3,3,4
胡志文,2022000455,reputation,10,2,yes,yes,yes,5,1,4,5,4,5
孙芬,2022000456,other,7,5,yes,no,yes,2,3,5,3,5,2
阎建华,2022000457,other,2,2,no,yes,no,3,6,5,3,5,5
吕建国,2022000458,home,6,4,yes,yes,no,2,2,4,4,1,4
谢娟,2022000459,reputation,5,3,yes,yes,yes,2,5,4,5,4,5
蔡语涵,2022000460,course,9,2,yes,yes,no,3,2,4,1,3,2
于敏,2022000461,course,8,4,yes,yes,no,1,1,3,4,3,3
曹浩然,2022000462,reputation,3,5,yes,yes,no,4,3,3,3,2,3
马雨晴,2022000463,home,7,6,yes,no,no,5,1,1,2,2,3
卢建平,2022000464,other,1,6,no,no,no,4,5,7,3,4,5
曹语涵,2022000465,course,8,5,yes,yes,yes,4,5,5,2,5,1
韩志华,2022000466,home,4,6,no,no,yes,2,3,2,3,3,1
阎欣悦,2022000467,home,6,3,no,no,no,4,4,2,4,2,1
吕云,2022000468,other,8,6,yes,yes,yes,1,5,7,3,5,5
董子轩,2022000469,home,3,4,yes,no,yes,4,7,6,3,2,3
郭平,2022000470,reputation,6,5,yes,no,no,1,1,5,4,2,1
蒋建军,2022000471,course,10,2,no,no,no,1,1,3,3,1,3
罗雨涵,2022000472,home,1,5,yes,no,no,1,5,5,4,1,2
朱浩然,2022000473,course,6,5,yes,no,no,2,5,6,1,4,4
邓志华,2022000474,other,9,1,no,no,no,1,3,1,2,5,3
蔡涛,2022000475,reputation,3,2,no,yes,yes,3,6,6,5,5,1
蒋国文,2022000476,reputation,10,7,yes,no,yes,1,7,3,4,1,4
宋雨欣,2022000477,course,1,7,no,yes,no,3,2,4,4,2,5
唐欣悦,2022000478,reputation,3,3,yes,yes,no,3,4,5,1,5,4
曹云,2022000479,home,4,2,yes,yes,no,2,3,4,1,2,4
马建平,2022000480,other,6,2,no,no,yes,2,3,1,4,5,2
周志文,2022000481,other,4,2,no,yes,no,2,6,5,3,1,1
吴建华,2022000482,course,10,7,no,no,no,1,7,2,3,1,1
邓语蝶,2022000483,other,10,3,no,no,no,5,1,4,2,3,4
彭志平,2022000484,other,3,4,yes,no,yes,2,7,7,1,3,5
曾雨泽,2022000485,home,2,3,yes,yes,yes,4,7,5,2,3,2
马建华,2022000486,other,3,1,yes,yes,no,4,3,6,3,1,4
曾刚,2022000487,reputation,8,6,no,no,yes,4,2,3,1,4,5
张志国,2022000488,course,5,5,yes,yes,no,5,2,7,1,4,3
苏丽,2022000489,other,1,1,no,no,yes,1,7,6,2,4,1
许浩然,2022000490,reputation,1,7,yes,no,no,1,3,7,3,5,5
王欣诺,2022000491,reputation,8,4,no,yes,yes,4,1,5,3,4,5
沈刚,2022000492,reputation,3,2,no,no,yes,4,4,5,4,4,5
许欣怡,2022000493,home,7,3,no,no,no,4,2,3,1,2,3
朱浩轩,2022000494,reputation,8,4,no,no,yes,1,6,1,5,5,5
袁建军,2022000495,reputation,8,2,yes,no,no,5,5,3,5,5,5
林伟,2022000496,home,8,7,no,no,no,5,6,2,5,3,2
胡洋,2022000497,other,9,5,no,no,yes,4,7,2,2,1,5
董刚,2022000498,home,5,3,yes,no,no,2,2,7,1,3,1
徐志华,2022000499,other,4,1,no,yes,yes,1,6,2,2,5,4
卢梦婷,2022000500,reputation,4,6,no,no,no,4,3,3,5,4,1
胡平,2022000501,home,2,2,no,no,yes,1,5,3,3,3,4
邓秀英,2022000502,course,10,6,yes,yes,no,5,1,6,3,3,3
曾志文,2022000503,home,5,4,no,yes,no,1,3,6,3,4,5
傅宇轩,2022000504,home,9,1,yes,yes,no,2,2,3,5,4,3
丁建军,2022000505,reputation,4,5,no,yes,no,1,3,1,4,4,1
梁静,2022000506,other,6,4,no,yes,no,1,2,4,2,5,3
罗志国,2022000507,home,8,6,yes,yes,yes,1,1,6,4,3,2
孙雨欣,2022000508,course,2,2,yes,yes,no,1,4,3,3,1,1
袁军,2022000509,reputation,8,4,yes,no,yes,5,4,5,3,3,1
杨宇轩,2022000510,other,5,7,yes,no,yes,1,5,1,4,1,2
萧国文,2022000511,home,5,1,no,yes,yes,1,6,2,1,3,2
林语涵,2022000512,course,8,6,yes,yes,yes,5,4,5,1,4,2
阎子轩,2022000513,course,8,7,no,no,yes,1,4,7,3,3,4
赵丽,2022000514,home,3,3,yes,yes,yes,1,5,4,1,1,1
程梦茜,2022000515,course,3,1,no,no,no,2,4,6,4,1,4
魏志国,2022000516,reputation,9,2,no,yes,yes,4,1,4,5,2,4
许芬,2022000517,course,3,6,no,no,no,4,5,5,3,2,3
张明,2022000518,course,7,7,yes,no,no,5,6,4,5,1,2
郑静,2022000519,other,2,4,yes,yes,yes,1,7,3,5,3,5
何国平,2022000520,other,8,3,yes,no,yes,3,7,4,3,1,5
黄国平,2022000521,course,4,1,no,no,yes,5,3,6,2,2,2
杨勇,2022000522,course,3,6,yes,yes,no,4,3,6,1,5,5
何涛,2022000523,reputation,3,1,yes,yes,no,2,3,5,2,3,1
吕秀英,2022000524,home,2,5,no,no,no,1,3,2,2,1,3
刘国庆,2022000525,course,4,6,no,yes,yes,4,2,4,1,2,5
郭建平,2022000526,other,2,6,yes,no,yes,3,5,4,3,5,4
杨芬,2022000527,reputation,7,1,yes,yes,yes,3,7,3,5,5,3
吕霞,2022000528,other,3,4,yes,yes,no,1,5,6,4,5,2
程欣宜,2022000529,course,10,4,yes,yes,yes,3,7,1,5,3,1
孙丽,2022000530,reputation,2,3,no,no,yes,1,3,3,4,5,5
何娜,2022000531,other,8,3,yes,yes,yes,2,1,7,5,5,1
沈超,2022000532,course,3,1,yes,no,no,2,1,4,3,5,2
宋洋,2022000533,other,3,4,yes,yes,no,2,2,5,2,5,1
曹语晨,2022000534,other,1,2,no,no,no,5,7,4,2,2,5
蔡浩宇,2022000535,other,3,6,yes,yes,yes,2,1,4,1,5,2
刘强,2022000536,other,10,7,no,yes,no,5,2,5,4,1,5
高建平,2022000537,other,8,2,no,no,yes,4,5,1,5,2,1
吴云,2022000538,course,6,6,yes,no,yes,5,5,1,5,1,4
刘梦璐,2022000539,home,2,6,yes,yes,yes,5,1,1,4,5,5
宋敏,2022000540,course,9,6,no,yes,no,1,1,4,1,5,2
曹宇轩,2022000541,other,9,4,yes,yes,yes,5,2,6,4,4,1
宋刚,2022000542,course,4,3,no,yes,yes,1,3,1,5,2,2
傅志国,2022000543,other,7,7,yes,no,yes,5,1,7,4,4,1
梁梦茜,2022000544,home,7,6,no,yes,yes,5,4,5,3,5,2
于浩宇,2022000545,reputation,9,2,no,yes,yes,4,2,7,2,5,2
谢国平,2022000546,course,8,7,no,yes,no,1,7,5,4,4,2
叶浩轩,2022000547,home,5,6,yes,no,no,5,4,6,3,4,3
萧浩宇,2022000548,other,1,5,no,yes,no,1,2,6,3,3,4
魏雨欣,2022000549,other,9,2,yes,yes,no,5,3,4,3,5,3
曹子豪,2022000550,other,9,4,no,no,no,1,2,6,2,5,3
郑欣慧,2022000551,home,2,6,no,yes,no,2,7,2,1,4,2
马杰,2022000552,reputation,9,6,no,yes,no,3,7,3,5,4,5
董霞,2022000553,course,7,1,no,no,yes,5,7,7,5,4,4
沈梦琪,2022000554,other,9,6,no,yes,no,1,5,7,2,5,4
傅玲,2022000555,reputation,4,2,no,no,no,2,1,7,2,4,2
梁梦琪,2022000556,course,6,3,yes,no,yes,2,2,6,5,4,1
邓超,2022000557,reputation,10,3,yes,yes,no,2,7,4,2,2,4
袁强,2022000558,reputation,8,5,yes,yes,no,5,4,1,4,4,3
林欣欣,2022000559,home,6,7,yes,yes,no,1,6,2,1,3,2
高语蝶,2022000560,course,2,5,no,no,yes,2,7,1,1,2,3
萧雨轩,2022000561,course,2,7,yes,no,no,4,7,7,4,3,1
黄建国,2022000562,other,8,3,no,yes,yes,4,7,6,1,5,5
宋国文,2022000563,other,3,1,yes,yes,yes,5,6,4,1,5,5
蔡桂英,2022000564,other,6,1,no,no,no,3,5,3,4,3,1
胡国文,2022000565,course,8,3,yes,yes,no,5,3,5,4,1,3
赵梦涵,2022000566,reputation,9,7,no,no,yes,3,2,1,2,4,1
萧建平,2022000567,course,6,7,yes,yes,yes,4,5,2,1,2,5
宋芬,2022000568,reputation,4,4,yes,yes,yes,4,4,6,4,5,3
曾艳,2022000569,reputation,10,1,yes,yes,yes,5,2,6,1,4,5
贾子豪,2022000570,home,1,2,yes,no,yes,5,3,4,1,4,2
傅雨泽,2022000571,course,1,2,yes,yes,no,2,3,4,1,3,3
林勇,2022000572,reputation,10,1,yes,yes,yes,2,5,1,2,4,5
蒋国华,2022000573,course,8,6,no,yes,no,1,3,5,4,2,4
徐伟,2022000574,reputation,4,7,no,yes,yes,3,2,7,3,5,3
曹欣怡,2022000575,home,9,5,yes,no,no,5,7,3,2,4,4
彭浩轩,2022000576,reputation,5,7,no,yes,yes,1,7,5,2,3,3
何丽,2022000577,reputation,8,1,yes,yes,yes,4,5,5,2,3,3
杨娜,2022000578,course,2,3,yes,yes,yes,1,6,1,5,3,5
林梦涵,2022000579,course,8,4,no,yes,yes,1,1,4,3,2,2
于志文,2022000580,reputation,1,7,yes,no,yes,5,7,7,2,3,1
曹欣然,2022000581,other,4,7,no,no,no,2,7,6,4,2,4
周雨晴,2022000582,reputation,8,7,no,yes,no,3,4,4,1,2,3
蒋娟,2022000583,home,10,5,yes,no,yes,5,3,1,3,2,5
苏玲,2022000584,other,5,5,yes,no,yes,4,6,2,5,1,3
卢军,2022000585,home,6,1,yes,no,yes,2,3,1,3,3,4
吴平,2022000586,course,4,1,no,no,no,2,2,5,1,2,1
胡浩轩,2022000587,home,8,6,yes,no,no,4,5,4,2,3,4
蔡梦婷,2022000588,reputation,10,6,yes,yes,no,4,2,3,4,5,5
张文,2022000589,reputation,5,4,no,yes,no,2,5,4,1,5,4
徐磊,2022000590,home,7,5,no,no,yes,5,6,4,3,4,4
唐洋,2022000591,other,3,5,no,yes,no,4,7,1,5,3,1
薛艳,2022000592,course,10,6,no,no,yes,3,5,7,3,3,3
朱平,2022000593,home,9,2,no,yes,yes,1,4,3,2,1,3
王强,2022000594,home,8,4,no,no,no,1,3,1,1,1,3
沈子豪,2022000595,course,4,1,yes,no,yes,1,3,2,4,3,3
邓刚,2022000596,reputation,7,3,no,no,no,3,3,5,3,2,3
唐欣然,2022000597,reputation,8,5,yes,yes,yes,3,5,3,2,2,2
吕伟,2022000598,other,5,2,yes,no,yes,5,4,2,5,1,1
胡欣悦,2022000599,other,10,3,no,yes,no,1,6,7,5,3,3
袁云,2022000600,reputation,5,7,yes,yes,no,3,6,5,1,4,1
卢秀英,2022000601,other,4,6,yes,no,no,1,5,7,5,3,2
傅国强,2022000602,reputation,5,6,no,yes,no,1,7,1,3,4,2
吕浩宇,2022000603,home,9,2,no,yes,no,4,1,6,2,4,1
梁国平,2022000604,course,7,4,yes,no,yes,2,1,6,4,4,4
董伟,2022000605,course,9,6,no,yes,no,2,5,3,1,3,5
李欣然,2022000606,home,1,2,no,no,yes,1,6,3,3,4,5
谢国庆,2022000607,reputation,3,6,yes,yes,no,2,5,6,4,3,1
黄浩轩,2022000608,reputation,5,2,yes,no,no,2,1,7,4,2,5
谢建国,2022000609,other,5,7,yes,yes,yes,4,3,5,5,1,4
彭欣慧,2022000610,course,5,2,no,no,yes,2,2,7,2,1,3
梁志华,2022000611,course,7,4,yes,no,no,1,1,2,2,3,1
梁国强,2022000612,other,4,4,yes,no,yes,5,2,6,2,3,2
张浩然,2022000613,course,6,2,yes,yes,no,4,5,6,1,2,4
沈浩轩,2022000614,reputation,10,1,no,yes,no,2,2,7,2,3,5
林志国,2022000615,home,10,5,yes,yes,yes,1,2,1,5,4,2
傅欣诺,2022000616,reputation,3,6,yes,yes,no,3,3,4,3,3,4
刘欣宜,2022000617,reputation,7,1,no,no,no,1,2,5,4,4,5
孙子豪,2022000618,other,6,2,yes,yes,yes,2,5,2,2,1,3
程杰,2022000619,home,4,7,no,no,yes,5,2,2,1,5,5
萧桂英,2022000620,course,10,3,yes,no,no,4,5,5,3,4,4
宋雨轩,2022000621,reputation,9,4,no,no,yes,5,4,2,2,2,2
宋浩天,2022000622,course,5,6,no,yes,no,4,5,5,2,5,3
邓磊,2022000623,course,9,3,no,no,no,4,2,2,4,3,1
邓杰,2022000624,home,2,3,yes,yes,no,3,5,5,1,4,2
唐丽,2022000625,home,8,7,no,no,yes,4,5,6,2,3,5
冯志华,2022000626,course,3,7,no,no,yes,2,2,6,1,4,2
张建国,2022000627,reputation,2,7,yes,no,no,1,4,5,2,3,2
丁欣宜,2022000628,course,4,4,yes,yes,yes,4,6,4,5,4,5
徐娟,2022000629,reputation,10,6,yes,yes,yes,2,4,2,4,2,4
何欣然,2022000630,other,7,5,yes,yes,yes,3,4,5,2,2,3
宋勇,2022000631,reputation,3,2,yes,no,no,4,4,6,1,3,1
薛丽,2022000632,home,7,6,yes,yes,no,5,3,6,3,2,4
刘国华,2022000633,home,3,5,yes,no,yes,3,7,6,1,1,2
唐子轩,2022000634,course,5,4,no,no,no,2,1,5,3,3,2
郑雨涵,2022000635,course,4,4,no,yes,yes,3,6,3,5,4,4
唐浩轩,2022000636,course,9,7,yes,no,yes,1,3,2,3,2,3
唐国平,2022000637,reputation,4,6,yes,yes,yes,3,4,2,3,1,1
赵艳,2022000638,course,5,4,no,no,yes,2,6,3,3,5,3
曹桂英,2022000639,reputation,1,4,no,no,no,5,6,4,1,5,4
沈梦茜,2022000640,other,9,1,no,yes,no,1,6,7,2,2,4
吴磊,2022000641,course,5,6,no,yes,yes,5,1,1,5,1,1
陈欣怡,2022000642,reputation,7,7,no,yes,yes,2,3,1,2,2,5
许建平,2022000643,other,7,1,no,yes,no,2,6,1,2,5,5
薛建国,2022000644,home,6,4,yes,yes,no,4,1,1,2,2,5
李雨欣,2022000645,reputation,10,7,no,no,no,3,3,7,2,2,1
傅勇,2022000646,reputation,7,3,yes,no,no,5,6,3,2,5,4
黄志强,2022000647,course,9,7,no,yes,no,2,3,4,1,3,2
萧敏,2022000648,other,8,5,yes,yes,yes,5,1,7,2,2,5
曾浩轩,2022000649,home,3,5,no,yes,yes,2,3,6,5,3,5
刘雨欣,2022000650,course,3,2,no,yes,yes,4,7,5,4,1,4
丁志国,2022000651,course,4,5,yes,no,yes,3,4,6,3,1,5
许建军,2022000652,other,5,3,yes,yes,no,1,3,5,5,3,5
丁伟,2022000653,reputation,2,5,no,no,yes,1,4,3,1,5,2
吕军,2022000654,other,10,3,no,no,yes,2,1,4,5,4,3
彭娟,2022000655,other,1,1,yes,no,yes,1,5,5,1,4,3
何雨欣,2022000656,other,10,3,no,yes,yes,5,7,3,5,1,5
魏明,2022000657,reputation,10,1,no,yes,yes,2,7,6,1,5,5
薛欣慧,2022000658,other,9,4,no,yes,yes,4,3,3,4,2,1
丁欣欣,2022000659,other,2,3,yes,no,yes,1,3,2,1,3,1
沈浩宇,2022000660,reputation,1,4,yes,yes,no,4,5,4,5,5,1
周欣欣,2022000661,home,2,7,no,no,no,4,3,1,1,2,2
苏磊,2022000662,home,1,6,no,no,no,2,6,7,2,5,3
谢雨轩,2022000663,reputation,5,7,no,yes,no,5,7,7,2,2,4
郑欣怡,2022000664,course,9,1,yes,no,no,2,3,5,1,4,1
曾欣欣,2022000665,home,10,1,yes,no,yes,4,3,1,5,2,5
叶云,2022000666,course,9,7,yes,yes,no,5,4,6,5,3,5
徐桂兰,2022000667,home,3,7,yes,yes,no,4,2,7,1,5,2
吕丽,2022000668,reputation,6,7,no,yes,no,5,7,7,3,2,3
韩建军,2022000669,home,10,7,no,no,yes,3,7,4,2,1,2
蒋强,2022000670,reputation,2,4,no,no,yes,5,2,7,2,3,2
徐洋,2022000671,reputation,2,1,yes,yes,no,3,6,4,5,1,5
郭欣宜,2022000672,course,5,4,yes,yes,no,4,7,2,3,1,2
梁磊,2022000673,reputation,5,4,yes,yes,no,3,7,2,2,4,3
袁梦璐,2022000674,reputation,8,7,yes,no,no,4,2,6,4,4,5
刘浩天,2022000675,course,8,4,no,yes,no,4,6,4,5,1,5
张平,2022000676,course,4,4,no,no,no,1,7,6,3,5,1
贾文,2022000677,reputation,10,5,yes,no,no,4,5,6,1,3,1
沈静,2022000678,other,1,5,no,no,no,3,1,2,1,3,5
魏建军,2022000679,course,6,4,yes,no,no,5,1,1,3,1,4
黄语蝶,2022000680,reputation,8,3,yes,yes,no,4,4,7,1,3,3
阎平,2022000681,other,1,4,yes,yes,yes,4,3,3,2,5,4
董雨欣,2022000682,other,10,2,yes,no,yes,1,1,6,2,3,5
李志国,2022000683,reputation,5,7,no,no,no,3,6,6,1,1,4
程雨泽,2022000684,course,10,5,no,no,yes,5,3,2,1,1,4
罗梦璐,2022000685,reputation,5,6,no,no,yes,5,6,4,1,1,5
蒋国庆,2022000686,other,6,3,no,no,no,1,5,3,2,4,5
薛志国,2022000687,home,4,1,yes,no,yes,4,7,3,5,2,5
萧雨涵,2022000688,other,1,5,yes,yes,yes,2,7,2,1,4,4
苏志文,2022000689,other,3,5,yes,no,yes,1,7,2,4,2,1
于志国,2022000690,course,5,5,no,yes,no,3,3,4,3,1,5
郑志国,2022000691,course,8,4,yes,yes,no,4,3,7,4,5,3
马志华,2022000692,reputation,2,6,no,yes,no,3,4,7,3,1,2
程丽,2022000693,other,4,5,yes,yes,yes,3,6,2,2,2,2
沈云,2022000694,course,8,5,yes,no,yes,2,3,4,2,3,4
郑雨泽,2022000695,other,9,2,no,yes,no,4,6,4,2,2,5
邓霞,2022000696,home,9,7,yes,no,no,4,4,6,4,5,5
徐浩然,2022000697,reputation,6,6,yes,no,no,1,6,3,4,5,3
吕梦涵,2022000698,course,9,5,no,no,yes,5,5,5,4,3,1
韩欣怡,2022000699,reputation,10,7,yes,yes,no,1,2,7,1,2,1
罗涛,2022000700,course,2,6,no,no,yes,5,7,2,1,5,1
邓语涵,2022000701,reputation,6,1,yes,yes,yes,1,2,6,5,4,4
张丽,2022000702,reputation,2,4,no,no,yes,3,6,1,2,3,2
胡桂英,2022000703,reputation,10,5,yes,yes,no,2,7,2,2,4,1
梁伟,2022000704,course,1,1,yes,no,no,4,4,4,1,1,3
陈国平,2022000705,other,10,7,yes,yes,yes,2,6,1,5,4,2
吴语晨,2022000706,reputation,2,1,yes,no,no,3,5,2,4,2,4
郭勇,2022000707,course,4,1,no,yes,yes,4,4,2,4,3,1
吕欣悦,2022000708,course,9,2,yes,no,no,5,4,7,5,1,5
吕欣然,2022000709,course,6,1,no,yes,no,2,6,1,3,5,3
梁桂英,2022000710,home,6,4,yes,yes,yes,2,6,4,4,2,5
许强,2022000711,home,1,7,yes,no,no,1,3,4,3,2,5
程建军,2022000712,home,5,3,no,yes,no,5,7,7,5,4,5
沈雨泽,2022000713,course,6,1,no,yes,yes,1,3,6,4,2,1
沈建平,2022000714,course,6,5,no,no,no,1,5,5,2,1,3
宋语蝶,2022000715,reputation,2,1,no,yes,yes,5,3,7,3,3,2
傅志文,2022000716,course,10,4,yes,yes,no,1,6,6,1,2,5
刘志强,2022000717,reputation,5,4,yes,yes,yes,2,4,6,4,2,4
萧娜,2022000718,home,5,2,yes,yes,no,4,1,6,2,1,1
何国庆,2022000719,course,6,2,no,yes,yes,4,4,2,5,4,4
谢雨涵,2022000720,course,8,7,no,yes,yes,5,4,1,1,5,5
魏勇,2022000721,other,10,2,no,yes,no,5,1,6,4,4,1
谢子豪,2022000722,other,9,2,yes,no,no,2,6,2,5,5,2
彭梦婷,2022000723,course,8,4,yes,no,no,3,1,1,3,2,2
郭国平,2022000724,reputation,6,1,yes,yes,yes,2,3,2,1,1,3
薛敏,2022000725,course,10,7,yes,no,yes,4,5,7,3,4,1
于志华,2022000726,reputation,7,6,yes,yes,yes,3,3,2,5,5,5
赵秀兰,2022000727,other,2,1,no,yes,yes,1,5,4,1,3,2
薛娜,2022000728,home,1,5,no,yes,yes,1,1,1,5,4,5
郑建华,2022000729,other,8,3,no,yes,no,5,2,2,2,5,1
杨子轩,2022000730,course,3,5,no,yes,no,1,7,7,3,2,4
吕娜,2022000731,other,2,7,no,no,yes,2,2,1,2,3,2
高桂兰,2022000732,course,2,7,no,no,no,3,2,5,5,2,2
周玲,2022000733,home,4,5,no,no,yes,5,6,7,1,3,2
吴子轩,2022000734,reputation,7,5,yes,yes,yes,1,2,2,4,4,2
薛欣诺,2022000735,other,2,1,yes,yes,yes,3,7,4,2,2,5
朱欣诺,2022000736,home,9,7,yes,no,no,3,5,6,5,5,3
高欣欣,2022000737,home,8,3,no,no,no,4,1,2,1,2,2
徐建国,2022000738,other,8,7,yes,yes,yes,2,5,2,1,1,5
程志平,2022000739,home,5,7,no,yes,no,1,2,5,5,4,2
吴梦璐,2022000740,course,2,2,yes,yes,yes,1,6,6,4,1,1
沈国华,2022000741,reputation,9,4,yes,no,no,5,5,3,2,1,3
叶秀英,2022000742,home,9,6,no,yes,yes,5,2,6,2,1,2
林敏,2022000743,home,7,2,yes,yes,yes,5,7,7,4,4,5
王语涵,2022000744,home,7,7,no,no,no,5,7,2,2,5,5
程娟,2022000745,course,9,5,yes,no,no,4,4,3,4,5,4
朱子轩,2022000746,reputation,5,5,no,yes,yes,3,1,6,2,5,2
丁娟,2022000747,other,5,7,yes,no,no,1,2,6,3,2,3
林欣怡,2022000748,course,8,7,yes,yes,no,4,7,2,2,3,2
孙梦璐,2022000749,other,3,7,yes,yes,yes,1,1,5,1,3,5
谢雨欣,2022000750,reputation,5,2,no,yes,no,3,5,1,1,5,3
林雨轩,2022000751,course,7,5,no,no,yes,2,1,7,5,4,2
魏文,2022000752,course,3,2,yes,no,yes,4,1,5,2,2,3
王敏,2022000753,course,3,7,yes,no,no,2,2,3,4,3,3
贾欣悦,2022000754,course,4,1,no,no,yes,3,2,7,5,5,1
冯雨泽,2022000755,course,4,7,no,no,no,1,7,7,4,4,5
傅雨晴,2022000756,other,6,7,yes,no,no,1,2,4,5,2,4
韩志强,2022000757,course,2,2,no,no,yes,4,2,1,4,5,2
